DATE,CREDIT AMOUNT,DEBIT AMOUNT,DEBIT PAID AMOUNT,BALANCE
2023-06-29,21900.0,,,21900
2023-06-30,8400.0,,,30300
2023-07-01,18900.0,,,49200
2023-07-02,21000.0,,,70200
2023-07-02,3300.0,,,73500
2023-07-03,31300.0,,,104800
2023-07-04,42800.0,,,147600
2023-07-05,18300.0,,,165900
2023-07-05,9400.0,,,175300
2023-07-06,21400.0,,,196700
2023-07-06,20000.0,,,216700
2023-07-06,700.0,,,217400
2023-07-08,34000.0,,,251400
2023-07-09,25300.0,,,276700
2023-07-09,21600.0,,,298300
2023-07-11,14000.0,,,312300
2023-07-11,23900.0,,,336200
2023-07-12,500.0,,,336700
2023-07-12,,5300.0,,331400
2023-07-13,,10300.0,,321100
2023-07-13,,12500.0,,308600
2023-07-13,,,23000.0,331600
2023-07-14,16200.0,,,347800
2023-07-14,18300.0,,,366100
2023-07-15,,10300.0,,355800
2023-07-15,,,10300.0,366100
2023-07-15,13500.0,,,379600
2023-07-15,900.0,,,380500
2023-07-16,2000.0,,,382500
2023-07-16,7600.0,,,390100
2023-07-17,,,5500.0,395600
2023-07-18,16300.0,,,411900
2023-07-18,,12300.0,,399600
2023-07-19,19700.0,,,419300
2023-07-20,14700.0,,,434000
2023-07-20,19100.0,,,453100
2023-07-21,,48500.0,,404600
2023-07-21,,12300.0,,392300
2023-07-22,,1000.0,,391300
2023-07-25,,76500.0,,314800
2023-07-25,,1000.0,,313800
2023-07-26,61300.0,,,375100
2023-07-26,,,129000.0,504100
2023-07-26,,,7500.0,511600
2023-07-27,17000.0,,,528600
2023-07-27,,7300.0,,521300
2023-07-28,19500.0,,,540800
2023-07-28,,2500.0,,538300
2023-07-29,18000.0,,,556300
2023-07-29,2200.0,,,558500
2023-07-30,25200.0,,,583700
2023-07-30,,20000.0,,563700
2023-07-31,17600.0,,,581300
2023-07-31,,358500.0,,222800
2023-07-31,,71000.0,,151800
2023-08-01,17700.0,,,169500
2023-08-01,900.0,,,170400
2023-08-01,,10300.0,,160100
2023-08-05,12300.0,0.0,0.0,172400
2023-08-07,16100.0,0.0,0.0,188500
2023-08-02,15800.0,0.0,0.0,204300
2023-08-03,16500.0,0.0,0.0,220800
2023-08-04,15500.0,0.0,0.0,236300
2023-08-04,0.0,35000.0,0.0,201300
2023-08-04,0.0,10300.0,0.0,191000
2023-08-06,0.0,10300.0,0.0,180700
2023-08-07,0.0,10300.0,0.0,170400
2023-08-08,29600.0,0.0,0.0,200000
2023-08-09,17600.0,0.0,0.0,217600
2023-08-09,0.0,1500.0,0.0,216100
2023-08-09,0.0,95500.0,0.0,120600
2023-08-10,16200.0,0.0,0.0,136800
2023-08-10,0.0,6500.0,0.0,130300
2023-08-11,17200.0,0.0,0.0,147500
2023-08-12,19000.0,0.0,0.0,166500
2023-08-13,14700.0,0.0,0.0,181200
2023-08-13,0.0,20250.0,0.0,160950
2023-08-13,0.0,6250.0,0.0,154700
2023-08-14,23500.0,0.0,0.0,178200
2023-08-14,0.0,10300.0,0.0,167900
2023-08-15,8200.0,0.0,0.0,176100
2023-08-16,7200.0,0.0,0.0,183300
2023-08-15,0.0,0.0,50000.0,233300
2023-08-17,14700.0,0.0,0.0,248000
2023-08-17,0.0,151000.0,0.0,97000
2023-08-18,17200.0,0.0,0.0,114200
2023-08-19,29600.0,0.0,0.0,143800
2023-08-18,0.0,121000.0,0.0,22800
2023-08-18,0.0,0.0,30000.0,52800
2023-08-18,0.0,45300.0,0.0,7500
